Genus	Species	SeedWeight_g
Ambavia	gerrardii	699.3513514g
Amborella	trichopoda	3.675g
Anaxagorea	panamensis	92.7g
Anemopsis	californica	0.364g
Aniba	sp.	505.0g
Annona	acuminata	36g
Annona	cherimola	351.04g
Annona	glabra	183g
Annona	hayesii	62g
Annona	hypoglauca	444.0g
Annona	jahnii	31.13g
Annona	muricata	396g
Annona	neglecta	133.0g
Annona	purpurea	897g
Annona	reticulata	239.2g
Annona	senegalensis	94.25g
Annona	senegalensis	117.8g
Annona	sp.	133.3g
Annona	spraguei	37g
Annona	squamosa	267g
Annona	urbaniana	337.1704g
Aristolochia	albida	3.711g
Aristolochia	bracteolata	8.2581g
Aristolochia	chapmaniana	6g
Aristolochia	chilensis	6.7758g
Aristolochia	clematitis	42.2156g
Aristolochia	elegans	2.104g
Aristolochia	iberica	19.3696g
Aristolochia	maurorum	53.0g
Aristolochia	maxima	8.6019231g
Aristolochia	paecilantha	26.8788g
Aristolochia	pontica	13.6461216g
Aristolochia	ringens	4.3764g
Aristolochia	sempervirens	27.2928g
Aristolochia	tagala	4.8088g
Aristolochia	taliscana	2.604g
Aristolochia	tomentosa	29.2324g
Artabotrys	brachypetalus	976.76g
Artabotrys	hapetalus	587g
Artabotrys	monteiroae	268.0g
Asarum	canadense	7.78g
Asarum	europaeum	2.82g
Asarum	hartwegii	9.523g
Ascarina	lucida	0.55g
Ascarina	philippinensis	1.1g
Ascarina	polystachya	0.28g
Ascarina	rubricaulis	0.303g
Ascarina	solmsiana	0.733g
Ascarina	swamyana	1.057g
Asimina	parviflora	300.6g
Asimina	triloba	847g
Atherosperma	moschatum	1.388g
Austrobaileya	scandens	365g
Beilschmiedia	bancroftii	20179g
Beilschmiedia	kweo	21111g
Beilschmiedia	miersii	3745g
Beilschmiedia	pendula	4744g
Beilschmiedia	recurva	1261g
Beilschmiedia	sp.	5600g
Beilschmiedia	tarairi	2500g
Beilschmiedia	tawa	1250g
Beilschmiedia	tooram	5800g
Beilschmiedia	volckii	24000g
Bocageopsis	multiflora	200.0g
Brasenia	schreberi	6.78g
Brasenia	tuberosa	9.805g
Cabomba	caroliniana	1.143g
Calycanthus	floridus	59.4g
Calycanthus	occidentalis	76.899g
Cananga	odorata	61.6g
Cassytha	ciliolata	38.102g
Cassytha	filiformis	40.95g
Cassytha	flindersii	20.9716g
Cassytha	glabella	28.26g
Cassytha	melantha	73.0328g
Cassytha	pedicellosa	10.225g
Cassytha	pubescens	38.97g
Cephalosphaera	usambarensis	23377g
Chimonanthus	praecox	109.6g
Chloranthus	erectus	2.16g
Chloranthus	fortunei	0.98g
Chloranthus	henryi	1.346g
Chloranthus	japonicus	1.66g
Chloranthus	serratus	0.853g
Chloranthus	sessilifolius	2.104g
Chloranthus	spicatus	2.178g
Chlorocardium	rodiei	35480g
Cinnamomum	burmanii	97.3g
Cinnamomum	camphora	108g
