Genus	Species	1C (pg)	Original Reference	Paper
Arabidopsis	thaliana	0.16	Bennett et al., 2003 (Ref. 461)	2005a
Valerianella	turgida	0.20	Hidalgo et al., 2010 (Ref. 638)	2012
Valerianella	locusta	0.22	Hidalgo et al., 2010 (Ref. 638)	2012
Arabis	auriculata	0.23	Hoffmann et al., 2010 (Ref. 657)	2012
Valerianella	microcarpa	0.23	Hidalgo et al., 2010 (Ref. 638)	2012
Valerianella	eriocarpa	0.24	Hidalgo et al., 2010 (Ref. 638)	2012
Sisymbrium	loeselii	0.24	Kubesová et al., 2010 (Ref. 630)	2012
Valerianella	dentata	0.25	Hidalgo et al., 2010 (Ref. 638)	2012
Valerianella	pontica	0.26	Hidalgo et al., 2010 (Ref. 638)	2012
Sisymbrium	altissimum	0.26	Kubesová et al., 2010 (Ref. 630)	2012
Valerianella	multidentata	0.26	Hidalgo et al., 2010 (Ref. 638)	2012
Valerianella	coronata	0.27	Hidalgo et al., 2010 (Ref. 638)	2012
Arabis	montbretiana	0.28	Hoffmann et al., 2010 (Ref. 657)	2012
Valerianella	echinata	0.30	Hidalgo et al., 2010 (Ref. 638)	2012
Valerianella	vesicaria	0.31	Hidalgo et al., 2010 (Ref. 638)	2012
Thlaspi	violascens	0.31	Peer et al., 2003 (Ref. 522)	2011
Echium	bonnetii	0.32	Suda et al., 2005 (Ref. 552)	2011
Urtica	urens	0.33	Bennett and Smith, 1976 (Ref. 2)	1976
Cochlearia	sempervivum	0.33	Peer et al., 2003 (Ref. 522)	2011
Veronica	arvensis	0.33	Albach & Greilhuber, 2003 (Ref. 478)	2011
Wahlenbergia	lobelioides	0.33	Suda et al., 2005 (Ref. 552)	2011
Lemna	valdiviana	0.33	Wang et al., 2011 (Ref. 683)	2012
Arabidopsis	pumila	0.34	Houben et al., 2003 (Ref. 518)	2011
Lagenaria	siceraria	0.34	Achigan-Dako et al., 2008 (Ref. 583)	2011
Fallopia	dumetorum	0.35	Bailey and Stace, 1992 (Ref. 213)	1995
Arabidopsis	suecica	0.35	Lysák et al., 2009 (Ref. 599)	2011
Olimarabidopsis	pumila	0.35	Lysák et al., 2009 (Ref. 599)	2011
Cucurbita	lundelliana	0.36	Sisko et al., 2003 (Ref. 500)	2011
Cucurbita	ecuadorensis	0.36	Sisko et al., 2003 (Ref. 500)	2011
Brachypodium	distachyon	0.36	Hanson et al., 2002 (Ref. 465)	2005a
Cucurbita	okeechobeensis	0.37	Sisko et al., 2003 (Ref. 500)	2011
Chenopodium	pumilio	0.37	Kubesová et al., 2010 (Ref. 630)	2012
Cucurbita	argyrosperma	0.37	Sisko et al., 2003 (Ref. 500)	2011
Sinapis	arvensis	0.38	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Caulanthus	amplexicaulis	0.38	Johnston et al., 2005 (Ref. 509)	2011
Wolffia	australiana	0.38	Wang et al., 2011 (Ref. 683)	2012
Guillenia	lasiophyllum	0.38	Johnston et al., 2005 (Ref. 509)	2011
