Genus	Species	1C (pg)
Genlisea	margaretae	0.06
Genlisea	aurea	0.06
Utricularia	gibba	0.09
Fragaria	viridis	0.1
Utricularia	blanchetii	0.14
Utricularia	parthenopipes	0.14
Sedum	album	0.15
Thlaspi	alpestre	0.15
Epilobium	palustre	0.15
Carex	paxii	0.15
Carex	nubigera	0.15
Hypericum	hirsutum	0.15
Arabidopsis	thaliana	0.16
Utricularia	quelchii	0.16
Utricularia	praelonga	0.16
Amoreuxia	wrightii	0.17
Hornungia	petraea	0.17
Torenia	baillonii	0.17
Aruncus	dioicus	0.17
Torenia	fournieri	0.18
Utricularia	australis	0.18
Dissotis	canescens	0.19
Canotia	holacantha	0.19
Roridula	gorgonias	0.19
Pritzelago	alpina	0.19
Corchorus	fascicularis	0.19
Bixa	orellana	0.2
Valerianella	turgida	0.2
Corchorus	aestuans	0.2
Ruta	montana	0.2
Betula	populifolia	0.2
Spiraea	chinensis	0.2
Physocarpus	opulifolius	0.2
Kernera	saxatilis	0.2
Neslia	paniculata	0.2
Arabidopsis	arenosa	0.2
Arabidopsis	neglecta	0.2
Descurainia	bourgeauana	0.2
Corchorus	pseudo-capsularis	0.2
Sedum	obtusifolium	0.21
Calepina	irregularis	0.21
Hornungia	procumbens	0.21
Cardamine	impatiens	0.21
Corchorus	trilocularis	0.21
Utricularia	microcalyx	0.22
Descurainia	millefolia	0.22
Capsella	rubella	0.22
Descurainia	gilva	0.22
Valerianella	locusta	0.22
Utricularia	pubescens	0.22
Corchorus	tridens	0.22
Cardamine	hirsuta	0.23
Spiraea	crenata	0.23
Physocarpus	bracteatus	0.23
Carex	brownii	0.23
Carex	kobomugi	0.23
Descurainia	lemsii	0.23
Arabis	auriculata	0.23
Descurainia	gonzalesii	0.23
Malcolmia	nana	0.23
Conringia	planisiliqua	0.23
Valerianella	microcarpa	0.23
Rubus	illecebrosus	0.24
Valerianella	eriocarpa	0.24
Utricularia	humboldtii	0.24
Myrciaria	glazioviana	0.24
Averrhoa	carambola	0.24
Utricularia	sandersonii	0.24
Boechera	stricta	0.24
Boechera	hoelbellii	0.24
Turritis	glabra	0.24
Noccaea	alpestris	0.24
Arabidopsis	halleri	0.24
Sisymbrium	officinale	0.24
Sisymbrium	loeselii	0.24
Draba	nemorosa	0.24
Nelumbo	nucifera	0.24
Cardamine	amara	0.24
Gomidesia	schaueriana	0.24
Eugenia	crenata	0.24
Calyptranthes	lucida	0.24
Eugenia	stigmatosa	0.24
Rubus	crataegifolius	0.25
Rhamnus	alpinus	0.25
Valerianella	dentata	0.25
Fragaria	vesca	0.25
Gomidesia	affinis	0.25
Campomanesia	pubescens	0.25
Boenninghausenia	albiflora	0.25
Epilobium	obscurum	0.25
Myriophyllum	spicatum	0.25
Oropetium	thomaeum	0.25
Carex	capillacea	0.25
Cucumella	cinerea	0.25
Arabidopsis	korshynskyi	0.25
Draba	subcapitata	0.25
Arabidopsis	lyrata	0.25
Begonia	venosa	0.25
Begonia	ulmifolia	0.25
Begonia	dietrichiana	0.25
Eugenia	uniflora	0.25
Eugenia	involucrata	0.25
Corchorus	capsularis	0.25
Acca	sellowiana	0.25
Accara	elegans	0.25
Utricularia	subulata	0.25
Eugenia	hyemalis	0.25
Rubus	leucodermis	0.26
Valerianella	pontica	0.26
Blepharocalyx	salicifolius	0.26
Sinningia	harleyi	0.26
Berberidopsis	corallina	0.26
Utricularia	livida	0.26
Campomanesia	schlechtendaliana	0.26
Physaria	gracilis	0.26
Cheiranthus	cheiri	0.26
Malcolmia	flexuosa	0.26
Rubus	simplex	0.26
Begonia	glaba	0.26
Sisymbrium	altissimum	0.26
Valerianella	multidentata	0.26
Sinningia	eumorpha	0.26
Pimenta	pseudocariophyllus	0.26
Thlaspi	praecox	0.26
Campomanesia	phaea	0.26
Rubus	parvifolius	0.27
Valerianella	coronata	0.27
Euclidium	syriacum	0.27
Rubus	innominatus	0.27
Rubus	parviflorus	0.27
Rubus	spectabilis	0.27
Rosa	blanda	0.28
Schmardaea	microphylla	0.28
Prunus	persica	0.28
Stephanandra	incisa	0.28
Neillia	simensis	0.28
