Genus	Species	1C (pg)	Original Reference	Paper
Genlisea	margaretae	0.06	Greilhuber et al., 2006 (Ref. 535)	2011
Genlisea	aurea	0.06	Greilhuber et al., 2006 (Ref. 535)	2011
Utricularia	gibba	0.09	Greilhuber et al., 2006 (Ref. 535)	2011
Fragaria	viridis	0.10	Antonius and Ahokas, 1996 (Ref. 339)	2000
Utricularia	blanchetii	0.14	Greilhuber et al., 2006 (Ref. 535)	2011
Utricularia	parthenopipes	0.14	Greilhuber et al., 2006 (Ref. 535)	2011
Sedum	album	0.15	Hart, 1991 (Ref. 398)	2005a
Thlaspi	alpestre	0.15	Band, 1984 (Ref. 154)	1991
Epilobium	palustre	0.15	Band, 1984 (Ref. 154)	1991
Carex	paxii	0.15	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	nubigera	0.15	Nishikawa et al., 1984 (Ref. 357)	2000
Hypericum	hirsutum	0.15	Hanson et al., 2002 (Ref. 465)	2005a
Utricularia	quelchii	0.16	Greilhuber et al., 2006 (Ref. 535)	2011
Utricularia	praelonga	0.16	Greilhuber et al., 2006 (Ref. 535)	2011
Amoreuxia	wrightii	0.17	Hanson et al., 2001 (Ref. 378)	2005a
Aruncus	dioicus	0.17	Temsch et al., 2010 (Ref. 627)	2012
Utricularia	australis	0.18	Greilhuber et al., 2006 (Ref. 535)	2011
Dissotis	canescens	0.19	Hanson et al., 2001 (Ref. 378)	2005a
Canotia	holacantha	0.19	Hanson et al., 2001 (Ref. 378)	2005a
Roridula	gorgonias	0.19	Hanson et al., 2001 (Ref. 379)	2005a
Bixa	orellana	0.20	Hanson et al., 2001 (Ref. 379)	2005a
Ruta	montana	0.20	Guerra M dos S., 1984 (Ref. 140)	1991
Betula	populifolia	0.20	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Spiraea	chinensis	0.20	Dickson et al., 1992 (Ref. 262)	1995
Physocarpus	opulifolius	0.20	Dickson et al., 1992 (Ref. 262)	1995
Descurainia	bourgeauana	0.20	Lysák et al., 2009 (Ref. 599)	2011
Sedum	obtusifolium	0.21	Hart, 1991 (Ref. 398)	2005a
Utricularia	microcalyx	0.22	Greilhuber et al., 2006 (Ref. 535)	2011
Descurainia	millefolia	0.22	Suda et al., 2003 (Ref. 477)	2011
Descurainia	gilva	0.22	Lysák et al., 2009 (Ref. 599)	2011
Utricularia	pubescens	0.22	Greilhuber et al., 2006 (Ref. 535)	2011
Spiraea	crenata	0.23	Dickson et al., 1992 (Ref. 262)	1995
Physocarpus	bracteatus	0.23	Dickson et al., 1992 (Ref. 262)	1995
Carex	brownii	0.23	Nishikawa et al., 1984 (Ref. 357)	2000
Carex	kobomugi	0.23	Nishikawa et al., 1984 (Ref. 357)	2000
Descurainia	lemsii	0.23	Suda et al., 2003 (Ref. 477)	2011
Descurainia	gonzalesii	0.23	Suda et al., 2003 (Ref. 477)	2011
Rubus	illecebrosus	0.24	Meng & Finn, 2002 (Ref. 600)	2011
Utricularia	humboldtii	0.24	Greilhuber et al., 2006 (Ref. 535)	2011
Myrciaria	glazioviana	0.24	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Averrhoa	carambola	0.24	Ohri, 2002 (Ref. 454)	2005a
Utricularia	sandersonii	0.24	Greilhuber et al., 2006 (Ref. 535)	2011
Nelumbo	nucifera	0.24	Hanson et al., 2001 (Ref. 379)	2005a
Cardamine	amara	0.24	Hanson et al., 2002 (Ref. 465)	2005a
Gomidesia	schaueriana	0.24	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Eugenia	crenata	0.24	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Calyptranthes	lucida	0.24	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Eugenia	stigmatosa	0.24	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Rubus	crataegifolius	0.25	Meng & Finn, 2002 (Ref. 600)	2011
Rhamnus	alpinus	0.25	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Fragaria	vesca	0.25	Temsch et al., 2010 (Ref. 627)	2012
Gomidesia	affinis	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Campomanesia	pubescens	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Boenninghausenia	albiflora	0.25	Guerra M dos S., 1984 (Ref. 140)	1991
Epilobium	obscurum	0.25	Band, 1984 (Ref. 154)	1991
Myriophyllum	spicatum	0.25	Baum et al., 1989 (Ref. 269-D)	1995
Oropetium	thomaeum	0.25	Bennett and Bennett, 1993 (Ref. 269-J)	1995
Carex	capillacea	0.25	Nishikawa et al., 1984 (Ref. 357)	2000
Draba	subcapitata	0.25	Grundt et al., 2005 (Ref. 505)	2011
Arabidopsis	lyrata	0.25	Lysák et al., 2009 (Ref. 599)	2011
Begonia	venosa	0.25	Dewitte et al., 2009 (Ref. 618)	2012
Begonia	ulmifolia	0.25	Dewitte et al., 2009 (Ref. 618)	2012
Begonia	dietrichiana	0.25	Dewitte et al., 2009 (Ref. 618)	2012
Eugenia	uniflora	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Eugenia	involucrata	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Acca	sellowiana	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Accara	elegans	0.25	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
